Person1,Person2,similarity,r.class
191000020001,191532120682,0.3333333333333333,1
191000030001,191532130682,0.21428571428571427,1
191000040001,191532140682,0.21428571428571427,1
191000040001,191532130682,0.13333333333333333,0
191000410010,191532420689,0.125,1
191000430011,191507100139,0.3,1
191000440012,191542030909,0.42857142857142855,1
191000520014,191532570693,0.3,1
191000530014,191532580693,0.2727272727272727,1
191000540015,191532590694,0.3,1
191000610017,191532690696,0.13333333333333333,1
191000660019,191532760698,0.375,1
191000680019,191532820698,0.3333333333333333,1
191000690019,191532790698,0.3333333333333333,1
191000790022,191524450518,0.13043478260869565,1
191000810023,191532910701,0.42857142857142855,1
191000960025,191533050703,0.5,1
191000980025,191533070703,0.4444444444444444,1
191001050027,191533230706,0.3333333333333333,1
191001140029,191533270707,0.3,1
191001350032,191500010001,0.3333333333333333,1
191001410033,191501110025,0.3333333333333333,1
191001610038,191500590014,0.0967741935483871,1
191001660039,191500110004,0.19047619047619047,1
191001710040,191500410010,0.12,1
191001730041,191500440011,0.23076923076923078,1
191001780042,191500490012,0.3333333333333333,1
191001830043,191500540013,0.16666666666666666,1
191001840043,191500550013,0.23076923076923078,1
191001850043,191500560013,0.23076923076923078,1
191001860043,191500570013,0.23076923076923078,1
191002020048,191534880743,0.2,1
191002030048,191526400562,0.15789473684210525,0
191002040048,191505890117,0.16666666666666666,1
191002050048,191526400562,0.15789473684210525,1
191002180051,191507980160,0.17647058823529413,1
191002190051,191507990160,0.17647058823529413,1
191002200051,191508000160,0.17647058823529413,1
191002210051,191508010160,0.17647058823529413,1
191002220052,191508060161,0.6666666666666666,1
191002280054,191508120164,0.2727272727272727,1
191002300054,191507890158,0.2,1
191002320054,191527340584,0.21428571428571427,1
191002330054,191508170164,0.21428571428571427,1
191002350055,191523500495,0.42857142857142855,1
191002370055,191523520495,0.16666666666666666,1
191002400056,191508240166,0.2727272727272727,1
191002410056,191508250166,0.2727272727272727,1
191002420056,191508260166,0.3,1
191002510059,191508410170,0.6666666666666666,1
191002610060,191508510172,0.16,1
191002810064,191530220642,0.2222222222222222,1
191002820064,191530230642,0.2,1
191002830064,191530250642,0.2727272727272727,1
191002840064,191530260642,0.2727272727272727,1
191002870066,191511070229,0.2,1
191002940068,191508840179,0.2727272727272727,1
191003160074,191535660763,0.3,1
191003180074,191540530877,0.23076923076923078,1
191003350078,191509370192,0.25,1
191003440080,191518570382,0.5,1
191003450080,191518580382,0.5,1
191003670086,191509690198,0.42857142857142855,1
191003700086,191509720198,0.23076923076923078,1
191003890090,191503020064,0.375,0
191003900090,191503030064,0.2727272727272727,0
191003910090,191503050064,0.16666666666666666,0
191003920090,191503040064,0.16666666666666666,0
191003930090,191503060064,0.10526315789473684,1
191003930090,191503050064,0.10526315789473684,0
191003950091,191514220305,0.2857142857142857,0
191003970092,191505000095,0.23076923076923078,1
191003970092,191518260375,0.14285714285714285,0
191003980092,191505010095,0.3333333333333333,1
191003990092,191505020095,0.3333333333333333,1
191004000093,191510040206,0.375,1
191004040094,191510070207,0.6666666666666666,1
191004160096,191510160209,0.3,1
191004170096,191510170209,0.3333333333333333,1
191004170096,191510160209,0.2,0
191004200097,191510190210,0.15789473684210525,1
191004360100,191510440215,0.5714285714285714,1
191004460103,191527290582,0.4,1
191004470103,191517830367,0.3,1
191004490104,191510610220,0.2727272727272727,1
191004510104,191510620220,0.42857142857142855,1
191004580107,191511920251,0.2,1
191004820112,191511100230,0.42857142857142855,1
191004830112,191511110230,0.5,1
191004840112,191511150230,0.6666666666666666,1
191004850112,191511120230,0.21428571428571427,1
191004860112,191511130230,0.21428571428571427,1
191004870112,191511140230,0.21428571428571427,1
191005310125,191511470240,0.375,1
191005350128,191511500241,0.3076923076923077,1
191005420130,191511590243,0.36363636363636365,1
191005460130,191511600243,0.25,1
191005510132,191511670245,0.42857142857142855,1
191005680135,191541230892,0.09523809523809523,0
191005690136,191530110640,0.3333333333333333,1
191005710136,191530130640,0.23076923076923078,1
191005720136,191530140640,0.23076923076923078,1
191005730136,191530150640,0.23076923076923078,1
191005820138,191530340644,0.23529411764705882,1
191005840138,191530360644,0.23076923076923078,1
191005850138,191530370644,0.25,1
191005920140,191512000253,0.1875,1
191005950141,191512050254,0.5,1
191006100146,191512220259,0.2727272727272727,1
191006140148,191512280261,0.42857142857142855,1
191006250152,191512390265,0.5,1
191006260152,191512400265,0.42857142857142855,1
191006310153,191512450266,0.6666666666666666,1
191006320153,191512460266,0.18181818181818182,1
191006510157,191512690271,0.5,1
191006530157,191512710271,0.25,1
191006590158,191512770272,0.25,1
191006600158,191512780272,0.25,1
191006610158,191512790272,0.3333333333333333,1
191006640160,191512920275,0.2,1
191006660160,191512940275,0.15,1
191006850165,191513140280,0.21428571428571427,1
191006860165,191513150280,0.21428571428571427,1
191006880166,191513180281,0.2,1
191007020169,191532650695,0.25,1
191007060170,191513420285,0.3333333333333333,1
191007090170,191513450285,0.16666666666666666,1
191007100170,191513400285,0.2222222222222222,1
191007170173,191513510289,0.4,1
191007210174,191513550290,0.16666666666666666,1
191007230174,191513570290,0.3333333333333333,1
191007510180,191513800295,0.5714285714285714,1
191007690185,191514130303,0.3333333333333333,1
191007710185,191514150303,0.23076923076923078,1
191007740186,191537530811,0.42857142857142855,1
191007810188,191514210305,0.3076923076923077,1
191007850188,191514250305,0.3,1
191007860188,191514260305,0.21428571428571427,1
191007870188,191514270305,0.21428571428571427,1
191007900189,191531310666,0.5,1
191007910189,191514320306,0.3333333333333333,1
191007930190,191514340307,0.2727272727272727,0
191007950190,191514360308,0.2727272727272727,1
191007970191,191514380309,0.3,1
191007980191,191514390309,0.23076923076923078,1
191007990191,191514400309,0.23076923076923078,1
191008010191,191514420309,0.23076923076923078,1
191008080193,191514530312,0.3,1
191008150194,191534580735,0.3,0
191008160195,191502330051,0.3333333333333333,1
191008180195,191502350051,0.3,1
191008200195,191522630476,0.3333333333333333,1
191008240196,191514630314,0.3333333333333333,1
191008260197,191514660315,0.3333333333333333,1
191008310198,191514710316,0.4,1
191008330198,191514720316,0.4444444444444444,1
191008340198,191514730316,0.25,1
191008350198,191514740316,0.375,1
191008350198,191514750316,0.2222222222222222,0
191008420201,191514850319,0.42857142857142855,1
191008480201,191514910319,0.21428571428571427,1
191008580204,191520370422,0.3,1
191008640205,191528090600,0.42857142857142855,1
191008750207,191515180325,0.3076923076923077,1
191008760207,191515190325,0.5,1
191008820208,191515270327,0.36363636363636365,1
191008860208,191515310327,0.3333333333333333,1
191008870208,191515320327,0.3333333333333333,1
191008930209,191514960320,0.2727272727272727,1
191008940209,191514970320,0.2727272727272727,1
191008950210,191515440329,0.3,1
191008990210,191515470329,0.25,1
191009000210,191515480329,0.25,1
191009040211,191515510330,0.25,1
191009120213,191515650332,0.21428571428571427,1
191009130213,191515610332,0.21428571428571427,1
191009200214,191515690333,0.2727272727272727,1
191009210214,191515700333,0.2727272727272727,1
191009300215,191539300850,0.23076923076923078,1
191009330216,191524500519,0.2222222222222222,0
191009380217,191529740632,0.1875,1
191009390217,191515840336,0.1875,1
191009400217,191515850336,0.1875,1
191009410218,191515860337,0.1875,0
191009420218,191515870337,0.3,1
191009490219,191515950338,0.25,1
191009650223,191524720523,0.3333333333333333,1
191009730224,191516150343,0.3,1
191009740224,191516160343,0.3,1
191009790226,191516190344,0.375,1
191009810227,191516210344,0.3,1
191009870229,191516270346,0.375,1
191009970232,191524790525,0.6666666666666666,1
191009980232,191524800525,0.25,1
191009990232,191524810525,0.42857142857142855,1
191010010233,191516910350,0.25,1
191010210236,191517130353,0.2857142857142857,1
191010320238,191517270355,0.42857142857142855,1
191010320238,191517300355,0.25,0
191010330238,191517290355,0.13636363636363635,1
191010400240,191517470359,0.3,1
191010500242,191509310190,0.42857142857142855,1
191010550243,191517590362,0.13333333333333333,1
191010560243,191517580362,0.21428571428571427,1
191010570243,191517600362,0.21428571428571427,1
191010620245,191517680364,0.10344827586206896,1
191010640246,191517690365,0.125,1
191010660246,191517710365,0.16666666666666666,1
191010670246,191517720365,0.16666666666666666,1
191010680246,191517730365,0.16666666666666666,1
191010790249,191512840273,0.42857142857142855,1
191010810249,191517950369,0.13333333333333333,0
191010820249,191517930369,0.13333333333333333,0
191010910251,191517960370,0.1875,1
191011060254,191518110373,0.4,1
191011060254,191535260753,0.16666666666666666,0
191011080254,191518110373,0.2727272727272727,0
191011080254,191535260753,0.16666666666666666,0
191011150256,191518220375,0.25,1
191011150256,191518210375,0.15384615384615385,0
191011170256,191518240375,0.17647058823529413,1
191011180256,191518250375,0.17647058823529413,1
191011250258,191505500107,0.13333333333333333,0
191011370261,191518410379,0.23076923076923078,1
191011380261,191518420379,0.23076923076923078,1
191011390261,191518430379,0.23076923076923078,1
191011470263,191534010723,0.2727272727272727,1
191011490263,191534030723,0.2727272727272727,1
191011500263,191534040723,0.2727272727272727,1
191011510263,191534050723,0.2727272727272727,1
191011530263,191534070723,0.4,1
191011540263,191534080723,0.3,1
191011580265,191526570567,0.2,1
191011720268,191519060394,0.1875,1
191011730269,191518870388,0.375,1
191011820272,191518930390,0.21052631578947367,1
191012090280,191519130396,0.21428571428571427,1
191012100280,191519140396,0.21428571428571427,1
191012110280,191519170396,0.14285714285714285,1
191012220282,191519260398,0.3,1
191012280284,191519340400,0.4,1
191012350285,191519400401,0.36363636363636365,1
191012590290,191519620406,0.375,1
191012600290,191519630406,0.2,1
191012860296,191519840411,0.2727272727272727,1
191012860296,191519850411,0.16666666666666666,0
191012870297,191519870412,0.6666666666666666,1
191012880297,191519880412,0.2222222222222222,0
191012900297,191519900412,0.21428571428571427,1
191012910297,191519910412,0.21428571428571427,1
191013030300,191528230602,0.2727272727272727,1
191013060302,191520120417,0.25,1
191013110304,191520230419,0.25,0
191013200306,191520320421,0.42857142857142855,1
191013210306,191520330421,0.2727272727272727,1
191013230306,191520340421,0.3333333333333333,1
191013240306,191520350421,0.3333333333333333,1
191013350308,191520450424,0.3333333333333333,1
191013360308,191520430424,0.3333333333333333,1
191013540313,191520700430,0.6666666666666666,1
191013580314,191532480691,0.3,1
191013810318,191521040436,0.5,1
191013890320,191521110438,0.42857142857142855,1
191013900320,191521120438,0.3,1
191013920320,191521140438,0.2,0
191013930320,191521140438,0.3333333333333333,1
191014270329,191521380446,0.3076923076923077,1
191014330330,191521430447,0.375,1
191014440332,191521540450,0.23076923076923078,1
191014460332,191521560450,0.23076923076923078,1
191014470333,191534620737,0.5,1
191014600335,191521630452,0.3076923076923077,1
191014790342,191521770457,0.2222222222222222,1
191014800342,191521780457,0.5,1
191014840343,191521830458,0.42857142857142855,1
191014840343,191521840458,0.25,0
191014860344,191521860459,0.375,1
191014890345,191521890460,0.2,1
191014940345,191521950460,0.375,1
191015030347,191522040462,0.2727272727272727,1
191015100349,191522140465,0.4444444444444444,1
191015130351,191522090464,0.6666666666666666,1
191015140351,191522100464,0.375,1
191015150351,191522110464,0.23076923076923078,1
191015170351,191522130464,0.23076923076923078,1
191015250352,191522280467,0.2222222222222222,1
191015280353,191522300468,0.5,1
191015360356,191522320471,0.25,1
191015390357,191522460472,0.6666666666666666,1
191015620362,191522690477,0.15789473684210525,1
191015640363,191522730478,0.15789473684210525,1
191015650363,191538460833,0.5714285714285714,1
191015670363,191538480833,0.21428571428571427,1
191015720365,191522800481,0.5,1
191015860368,191534130725,0.5,1
191015910370,191523060487,0.3333333333333333,1
191015910370,191514290305,0.2,0
191016130373,191523250490,0.2857142857142857,1
