Person1,Person2,similarity,r.class
191000020001,191532120682,0.375,1
191000030001,191532130682,0.23076923076923078,1
191000040001,191532140682,0.23076923076923078,1
191000040001,191532130682,0.14285714285714285,0
191000410010,191532420689,0.13043478260869565,1
191000430011,191507100139,0.3333333333333333,1
191000440012,191542030909,0.6,1
191000520014,191532570693,0.3333333333333333,1
191000530014,191532580693,0.3333333333333333,1
191000530014,191532570693,0.2,0
191000540015,191532590694,0.375,1
191000610017,191532690696,0.14285714285714285,1
191000660019,191532760698,0.5,1
191000680019,191532820698,0.375,1
191000690019,191532790698,0.375,1
191000790022,191524450518,0.13636363636363635,1
191000810023,191532910701,0.6,1
191000960025,191533050703,0.42857142857142855,1
191000980025,191533070703,0.375,1
191001050027,191533230706,0.375,1
191001140029,191533270707,0.3333333333333333,1
191001210030,191538070823,0.18181818181818182,0
191001410033,191501110025,0.375,1
191001710040,191500410010,0.125,1
191001730041,191500440011,0.2727272727272727,1
191001780042,191500490012,0.2727272727272727,1
191001830043,191500540013,0.17647058823529413,1
191001840043,191500550013,0.25,1
191001850043,191500560013,0.25,1
191001860043,191500570013,0.25,1
191002020048,191534880743,0.21428571428571427,1
191002040048,191505890117,0.17647058823529413,1
191002050048,191526400562,0.17647058823529413,1
191002060048,191534890743,0.17647058823529413,1
191002180051,191507980160,0.1875,1
191002190051,191507990160,0.1875,1
191002200051,191508000160,0.1875,1
191002210051,191508010160,0.1875,1
191002220052,191508060161,0.6,1
191002280054,191508120164,0.3,1
191002290054,191508130164,0.23076923076923078,1
191002300054,191507890158,0.23076923076923078,1
191002310054,191508160164,0.23076923076923078,1
191002320054,191527340584,0.23076923076923078,1
191002330054,191508170164,0.23076923076923078,1
191002350055,191523500495,0.5,1
191002370055,191523520495,0.1875,1
191002400056,191508240166,0.3333333333333333,1
191002410056,191508250166,0.3333333333333333,1
191002420056,191508260166,0.3333333333333333,1
191002510059,191508410170,0.6,1
191002810064,191530220642,0.25,1
191002820064,191530230642,0.21428571428571427,1
191002830064,191530250642,0.3,1
191002840064,191530260642,0.3,1
191002870066,191511070229,0.23076923076923078,1
191002940068,191508840179,0.3333333333333333,1
191003190074,191535680763,0.16666666666666666,1
191003210074,191535700763,0.16666666666666666,1
191003350078,191509370192,0.3,1
191003440080,191518570382,0.6,1
191003450080,191518580382,0.6,1
191003670086,191509690198,0.5,1
191003700086,191509720198,0.25,1
191003890090,191503020064,0.5,0
191003900090,191503030064,0.3,0
191003900090,191503540076,0.18181818181818182,0
191003900090,191503100065,0.18181818181818182,0
191003910090,191503050064,0.17647058823529413,0
191003920090,191503040064,0.17647058823529413,0
191003930090,191503050064,0.1111111111111111,0
191003930090,191503040064,0.1111111111111111,0
191003950091,191514220305,0.3333333333333333,0
191003970092,191505000095,0.25,1
191003970092,191518260375,0.15384615384615385,0
191003980092,191505010095,0.375,1
191003990092,191505020095,0.375,1
191004000093,191510040206,0.5,1
191004040094,191510070207,0.6,1
191004160096,191510160209,0.375,1
191004170096,191510170209,0.375,1
191004170096,191510160209,0.2222222222222222,0
191004200097,191510190210,0.16666666666666666,1
191004360100,191510440215,0.5,1
191004460103,191527290582,0.3333333333333333,1
191004470103,191517830367,0.3333333333333333,1
191004490104,191510610220,0.3,1
191004500104,191510620220,0.2857142857142857,0
191004510104,191510620220,0.5,1
191004580107,191511920251,0.21428571428571427,1
191004820112,191511100230,0.6,1
191004830112,191511110230,0.6,1
191004840112,191511150230,0.6,1
191004850112,191511120230,0.23076923076923078,1
191004860112,191511130230,0.23076923076923078,1
191004870112,191511140230,0.23076923076923078,1
191005310125,191511470240,0.5,1
191005350128,191511500241,0.25,1
191005360128,191511510241,0.2222222222222222,1
191005420130,191511590243,0.3,1
191005460130,191511600243,0.3,1
191005510132,191511670245,0.6,1
191005680135,191541230892,0.1,0
191005690136,191530110640,0.2727272727272727,1
191005710136,191530130640,0.25,1
191005720136,191530140640,0.25,1
191005820138,191530340644,0.1875,1
191005840138,191530360644,0.2727272727272727,1
191005850138,191530370644,0.2727272727272727,1
191005870139,191510410214,0.15384615384615385,1
191005920140,191512000253,0.21428571428571427,1
191005950141,191512050254,0.42857142857142855,1
191005950141,191538020822,0.25,0
191006100146,191512220259,0.3,1
191006140148,191512280261,0.6,1
191006210151,191540680881,0.2,1
191006250152,191512390265,0.42857142857142855,1
191006260152,191512400265,0.6,1
191006310153,191512450266,0.6,1
191006320153,191512460266,0.2222222222222222,1
191006510157,191512690271,0.42857142857142855,1
191006590158,191512770272,0.2727272727272727,1
191006600158,191512780272,0.2727272727272727,1
191006610158,191512790272,0.42857142857142855,1
191006640160,191512920275,0.23076923076923078,1
191006650160,191512930275,0.15789473684210525,1
191006660160,191512940275,0.15789473684210525,1
191006850165,191513140280,0.25,1
191006860165,191513150280,0.25,1
191006880166,191513180281,0.23076923076923078,1
191007020169,191532650695,0.3333333333333333,1
191007060170,191513420285,0.42857142857142855,1
191007090170,191513450285,0.2,1
191007100170,191513400285,0.2857142857142857,1
191007170173,191513510289,0.3333333333333333,1
191007210174,191513550290,0.2,1
191007230174,191513570290,0.42857142857142855,1
191007510180,191513800295,0.5,1
191007690185,191514130303,0.2727272727272727,1
191007710185,191514150303,0.2727272727272727,1
191007740186,191537530811,0.6,1
191007810188,191514210305,0.25,1
191007860188,191514260305,0.25,1
191007870188,191514270305,0.25,1
191007900189,191531310666,0.42857142857142855,1
191007910189,191514320306,0.42857142857142855,1
191007970191,191514380309,0.375,1
191007980191,191514390309,0.2727272727272727,1
191007990191,191514400309,0.2727272727272727,1
191008010191,191514420309,0.2727272727272727,1
