Person1,Person2,similarity,r.class
191000020001,191532120682,0.29411764705882354,1
191000020001,191511510241,0.2222222222222222,0
191000030001,191532130682,0.15,1
191000040001,191532140682,0.15,1
191000180005,191532250685,0.2,1
191000410010,191532420689,0.12903225806451613,1
191000430011,191507100139,0.2777777777777778,1
191000440012,191542030909,0.21052631578947367,1
191000490013,191532540692,0.2777777777777778,1
191000520014,191532570693,0.1875,1
191000530014,191532580693,0.3,1
191000540015,191532590694,0.21052631578947367,1
191000570016,191532620695,0.21621621621621623,1
191000580016,191532630695,0.21875,1
191000680019,191532820698,0.2,1
191000690019,191532790698,0.3333333333333333,1
191000700019,191532790698,0.2631578947368421,0
191000750021,191532880700,0.15151515151515152,1
191000960025,191533050703,0.21739130434782608,1
191000980025,191533070703,0.3888888888888889,1
191001140029,191533270707,0.2777777777777778,1
191001280031,191533360708,0.3125,1
191001350032,191500010001,0.3,1
191001410033,191501110025,0.25,1
191001500035,191500050002,0.21428571428571427,1
191001660039,191500110004,0.1724137931034483,1
191001680040,191500390010,0.23333333333333334,1
191001710040,191500410010,0.125,1
191001720040,191500420010,0.125,1
191001780042,191500490012,0.21739130434782608,1
191001800042,191500510012,0.23333333333333334,1
191001840043,191500550013,0.2727272727272727,1
191002020048,191534880743,0.21739130434782608,1
191002040048,191505890117,0.11538461538461539,1
191002060048,191534890743,0.21428571428571427,1
191002190051,191507990160,0.23076923076923078,1
191002200051,191508000160,0.23076923076923078,1
191002220052,191508060161,0.25,1
191002290054,191508130164,0.30434782608695654,1
191002300054,191507890158,0.13043478260869565,1
191002350055,191523500495,0.3333333333333333,1
191002370055,191523520495,0.2222222222222222,1
191002400056,191508240166,0.3,1
191002400056,191508250166,0.23809523809523808,0
191002410056,191508250166,0.3,1
191002410056,191508240166,0.23809523809523808,0
191002420056,191508260166,0.1875,1
191002500058,191508390169,0.20833333333333334,1
191002510059,191508410170,0.25,1
191002610060,191508510172,0.20588235294117646,1
191002750063,191508620174,0.20833333333333334,1
