src,relation,Target,is_b,id(is_b)
188900910020,VIU,SFLL188920,IS_BUILDING,128316
188900970021,VIU,SFLL188921,IS_BUILDING,128318
188900960021,VIU,SFLL188921,IS_BUILDING,128318
188900950021,VIU,SFLL188921,IS_BUILDING,128318
188901030022,VIU,SFLL188922,IS_BUILDING,128596
188901020022,VIU,SFLL188922,IS_BUILDING,128596
188901010022,VIU,SFLL188922,IS_BUILDING,128596
188901000022,VIU,SFLL188922,IS_BUILDING,128596
188900990022,VIU,SFLL188922,IS_BUILDING,128596
188900980022,VIU,SFLL188922,IS_BUILDING,128596
188901050023,VIU,SFLL188923,IS_BUILDING,128598
188901040023,VIU,SFLL188923,IS_BUILDING,128598
188901150024,VIU,SFLL188924,IS_BUILDING,128319
188901140024,VIU,SFLL188924,IS_BUILDING,128319
188901130024,VIU,SFLL188924,IS_BUILDING,128319
188901120024,VIU,SFLL188924,IS_BUILDING,128319
188901110024,VIU,SFLL188924,IS_BUILDING,128319
188901100024,VIU,SFLL188924,IS_BUILDING,128319
188901090024,VIU,SFLL188924,IS_BUILDING,128319
188901080024,VIU,SFLL188924,IS_BUILDING,128319
188901070024,VIU,SFLL188924,IS_BUILDING,128319
188901060024,VIU,SFLL188924,IS_BUILDING,128319
188901250025,VIU,SFLL188925,IS_BUILDING,128321
188901240025,VIU,SFLL188925,IS_BUILDING,128321
188901230025,VIU,SFLL188925,IS_BUILDING,128321
188901220025,VIU,SFLL188925,IS_BUILDING,128321
188901210025,VIU,SFLL188925,IS_BUILDING,128321
188901200025,VIU,SFLL188925,IS_BUILDING,128321
188901190025,VIU,SFLL188925,IS_BUILDING,128321
188901180025,VIU,SFLL188925,IS_BUILDING,128321
188901170025,VIU,SFLL188925,IS_BUILDING,128321
188901160025,VIU,SFLL188925,IS_BUILDING,128321
188901280026,VIU,SFLL188926,IS_BUILDING,128323
188901270026,VIU,SFLL188926,IS_BUILDING,128323
188901260026,VIU,SFLL188926,IS_BUILDING,128323
188901300027,VIU,SFLL188927,IS_BUILDING,128605
188901290027,VIU,SFLL188927,IS_BUILDING,128605
188901320028,VIU,SFLL188928,IS_BUILDING,129256
188901310028,VIU,SFLL188928,IS_BUILDING,129256
188901420029,VIU,SFLL188929,IS_BUILDING,128607
188901410029,VIU,SFLL188929,IS_BUILDING,128607
188901400029,VIU,SFLL188929,IS_BUILDING,128607
188901390029,VIU,SFLL188929,IS_BUILDING,128607
188901380029,VIU,SFLL188929,IS_BUILDING,128607
188901370029,VIU,SFLL188929,IS_BUILDING,128607
188901360029,VIU,SFLL188929,IS_BUILDING,128607
188901350029,VIU,SFLL188929,IS_BUILDING,128607
188901340029,VIU,SFLL188929,IS_BUILDING,128607
188901330029,VIU,SFLL188929,IS_BUILDING,128607
188901480030,VIU,SFLL188930,IS_BUILDING,128610
188901470030,VIU,SFLL188930,IS_BUILDING,128610
188901460030,VIU,SFLL188930,IS_BUILDING,128610
188901450030,VIU,SFLL188930,IS_BUILDING,128610
188901440030,VIU,SFLL188930,IS_BUILDING,128610
188901430030,VIU,SFLL188930,IS_BUILDING,128610
188901540031,VIU,SFLL188931,IS_BUILDING,128996
188901530031,VIU,SFLL188931,IS_BUILDING,128996
188901520031,VIU,SFLL188931,IS_BUILDING,128996
188901510031,VIU,SFLL188931,IS_BUILDING,128996
188901500031,VIU,SFLL188931,IS_BUILDING,128996
188901490031,VIU,SFLL188931,IS_BUILDING,128996
188901580032,VIU,SFLL188932,IS_BUILDING,128998
188901570032,VIU,SFLL188932,IS_BUILDING,128998
188901560032,VIU,SFLL188932,IS_BUILDING,128998
188901550032,VIU,SFLL188932,IS_BUILDING,128998
188901610033,VIU,SFLL188933,IS_BUILDING,128617
188901600033,VIU,SFLL188933,IS_BUILDING,128617
188901590033,VIU,SFLL188933,IS_BUILDING,128617
188901670034,VIU,SFLL188934,IS_BUILDING,128999
188901660034,VIU,SFLL188934,IS_BUILDING,128999
188901650034,VIU,SFLL188934,IS_BUILDING,128999
188901640034,VIU,SFLL188934,IS_BUILDING,128999
188901630034,VIU,SFLL188934,IS_BUILDING,128999
188901620034,VIU,SFLL188934,IS_BUILDING,128999
188901730035,VIU,SFLL188935,IS_BUILDING,128620
188901720035,VIU,SFLL188935,IS_BUILDING,128620
188901710035,VIU,SFLL188935,IS_BUILDING,128620
188901700035,VIU,SFLL188935,IS_BUILDING,128620
188901690035,VIU,SFLL188935,IS_BUILDING,128620
188901680035,VIU,SFLL188935,IS_BUILDING,128620
188901820036,VIU,SFLL188936,IS_BUILDING,129000
188901810036,VIU,SFLL188936,IS_BUILDING,129000
188901800036,VIU,SFLL188936,IS_BUILDING,129000
188901790036,VIU,SFLL188936,IS_BUILDING,129000
188901780036,VIU,SFLL188936,IS_BUILDING,129000
188901770036,VIU,SFLL188936,IS_BUILDING,129000
188901760036,VIU,SFLL188936,IS_BUILDING,129000
188901750036,VIU,SFLL188936,IS_BUILDING,129000
188901740036,VIU,SFLL188936,IS_BUILDING,129000
188901870037,VIU,SFLL188937,IS_BUILDING,129004
188901860037,VIU,SFLL188937,IS_BUILDING,129004
188901850037,VIU,SFLL188937,IS_BUILDING,129004
188901840037,VIU,SFLL188937,IS_BUILDING,129004
188901830037,VIU,SFLL188937,IS_BUILDING,129004
188901970038,VIU,SFLL188938,IS_BUILDING,129008
188901960038,VIU,SFLL188938,IS_BUILDING,129008
188901950038,VIU,SFLL188938,IS_BUILDING,129008
188901940038,VIU,SFLL188938,IS_BUILDING,129008
188901930038,VIU,SFLL188938,IS_BUILDING,129008
188901920038,VIU,SFLL188938,IS_BUILDING,129008
188901910038,VIU,SFLL188938,IS_BUILDING,129008
188901900038,VIU,SFLL188938,IS_BUILDING,129008
188901890038,VIU,SFLL188938,IS_BUILDING,129008
188901880038,VIU,SFLL188938,IS_BUILDING,129008
188902030039,VIU,SFLL188939,IS_BUILDING,129010
188902020039,VIU,SFLL188939,IS_BUILDING,129010
188902010039,VIU,SFLL188939,IS_BUILDING,129010
188902000039,VIU,SFLL188939,IS_BUILDING,129010
188901990039,VIU,SFLL188939,IS_BUILDING,129010
188901980039,VIU,SFLL188939,IS_BUILDING,129010
188902090040,VIU,SFLL188940,IS_BUILDING,129013
188902080040,VIU,SFLL188940,IS_BUILDING,129013
188902070040,VIU,SFLL188940,IS_BUILDING,129013
188902060040,VIU,SFLL188940,IS_BUILDING,129013
188902050040,VIU,SFLL188940,IS_BUILDING,129013
188902040040,VIU,SFLL188940,IS_BUILDING,129013
188902120041,VIU,SFLL188941,IS_BUILDING,129257
