nodes._id,"Coalesce(r.target_Position,Type(r))",target._id
188901330029,fill,188901390029
188901330029,fill,188901400029
188901330029,sogre,188901410029
188901330029,cunyada,188901420029
188901430030,esposa,188901440030
188901430030,fill,188901450030
188901430030,fill,188901460030
188901430030,gendre,188901470030
188901430030,neta,188901480030
188901490031,fill,188901500031
188901490031,jove,188901510031
188901490031,neta,188901520031
188901490031,altres,188901530031
188901490031,altres,188901540031
188901550032,esposa,188901560032
188901550032,fill,188901570032
188901550032,fill,188901580032
188901590033,esposa,188901600033
188901590033,fill,188901610033
188901620034,filla,188901630034
188901620034,fill,188901640034
188901620034,filla,188901650034
188901620034,filla,188901660034
188901620034,filla,188901670034
188901680035,esposa,188901690035
188901680035,fill,188901700035
188901680035,fill,188901710035
188901680035,fill,188901720035
188901680035,fill,188901730035
188901740036,esposa,188901750036
188901740036,fill,188901760036
188901740036,fill,188901770036
188901740036,fill,188901780036
188901740036,parents,188901790036
188901740036,parents,188901800036
188901740036,cunyat,188901810036
188901740036,cunyada,188901820036
188901830037,esposa,188901840037
188901830037,fill,188901850037
188901830037,jove,188901860037
188901830037,net,188901870037
188901880038,esposa,188901890038
188901880038,fill,188901900038
188901880038,fill,188901910038
188901880038,fill,188901920038
188901880038,fill,188901930038
188901880038,fill,188901940038
188901880038,fill,188901950038
188901880038,fill,188901960038
188901880038,fill,188901970038
188901980039,gendre,188901990039
188901980039,filla,188902000039
188901980039,net,188902010039
188901980039,net,188902020039
188901980039,net,188902030039
188902040040,fill,188902050040
188902040040,FAMILY,188902060040
188902040040,esposa,188902070040
188902040040,fill,188902080040
188902040040,fill,188902090040
188902100041,esposa,188902110041
188902100041,fill,188902120041
188902130042,filla,188902140042
188902130042,filla,188902150042
188902130042,filla,188902160042
188902130042,fill,188902170042
188902130042,fill,188902180042
188902190043,esposa,188902200043
188902190043,altres,188902210043
188902190043,altres,188902220043
188902230044,esposa,188902240044
188902230044,fill,188902250044
188902260045,esposa,188902270045
188902260045,fill,188902280045
188902290046,esposa,188902300046
188902290046,fill,188902310046
188902290046,fill,188902320046
188902290046,fill,188902330046
188902290046,fill,188902340046
188902290046,jefe_2,188902350046
188902290046,esposa_2,188902360046
188902290046,fill_2,188902370046
188902290046,fill_2,188902380046
188902290046,fill_2,188902390046
188902290046,jefe_3,188902400046
188902290046,esposa_3,188902410046
188902290046,fill_3,188902420046
188902290046,fill_3,188902430046
188902290046,fill_3,188902440046
188902450047,esposa,188902460047
188902450047,fill,188902470047
188902450047,fill,188902480047
188902450047,fill,188902490047
188902500048,fill,188902510048
188902500048,altres,188902520048
188902540050,fill,188902550050
188902540050,fill,188902560050
188902540050,fill,188902570050
188902580051,esposa,188902590051
188902580051,fill,188902600051
188902580051,fill,188902610051
188902620052,esposa,188902630052
188902620052,fill,188902640052
188902620052,fill,188902650052
188902660053,esposa,188902670053
188902660053,fill,188902680053
188902660053,fill,188902690053
188902700054,esposa,188902710054
188902700054,fill,188902720054
188902700054,fill,188902730054
188902740055,fill,188902750055
188902740055,jove,188902760055
188902740055,neta,188902770055
188902740055,neta,188902780055
188902790056,fill,188902800056
188902810057,esposa,188902820057
188902810057,fill,188902830057
188902810057,fill,188902840057
188902850058,altres,188902860058
188902870059,fill,188902880059
188902890060,fill,188902900060
188902890060,fill,188902910060
188902890060,fill,188902920060
188902890060,fill,188902930060
188902940061,esposa,188902950061
188902940061,fill,188902960061
188902940061,fill,188902970061
188902940061,fill,188902980061
188902940061,fill,188902990061
188902940061,fill,188903000061
188903010062,esposa,188903020062
188903010062,fill,188903030062
188903010062,fill,188903040062
188903010062,fill,188903050062
188903010062,fill,188903060062
188903010062,fill,188903070062
188903010062,fill,188903080062
188903010062,fill,188903090062
188903010062,parents,188903100062
188903110063,esposa,188903120063
188903110063,germa,188903130063
188903140064,esposa,188903150064
188903140064,fill,188903160064
188903140064,fill,188903170064
188903140064,germa,188903180064
188903190065,esposa,188903200065
188903190065,fill,188903210065
188903190065,fill,188903220065
188903190065,fill,188903230065
188903240066,gendre,188903250066
188903240066,filla,188903260066
188903240066,neta,188903270066
188903240066,neta,188903280066
188903240066,neta,188903290066
188903300067,filla,188903310067
188903320068,fill,188903330068
188903340069,esposa,188903350069
188903340069,fill,188903360069
188903340069,fill,188903370069
188903380070,filla,188903390070
188903400071,esposa,188903410071
188903420072,esposa,188903430072
188903420072,fill,188903440072
188903420072,fill,188903450072
188903420072,fill,188903460072
188903420072,fill,188903470072
188903480073,esposa,188903490073
188903480073,fill,188903500073
188903480073,fill,188903510073
188903480073,fill,188903520073
188903480073,fill,188903530073
188903540074,esposa,188903550074
188903540074,fill,188903560074
188903540074,fill,188903570074
188903540074,altres,188903580074
188903590075,esposa,188903600075
188903610076,esposa,188903620076
188903610076,fill,188903630076
188903610076,fill,188903640076
188903610076,fill,188903650076
188903610076,fill,188903660076
188903610076,fill,188903670076
188903610076,cunyada,188903680076
188903610076,neboda,188903690076
188903700077,FAMILY,188903710077
188903700077,esposa,188903720077
188903700077,fill,188903730077
188903700077,fill,188903740077
188903700077,fill,188903750077
188903760078,esposa,188903770078
188903760078,fill,188903780078
188903760078,fill,188903790078
188903800079,esposa,188903810079
188903800079,cunyat,188903820079
188903800079,neboda,188903830079
188903840080,altres,188903850080
188903840080,altres,188903860080
188903840080,altres,188903870080
188903840080,altres,188903880080
188903890081,esposa,188903900081
188903890081,fill,188903910081
188903890081,fill,188903920081
188903890081,parents,188903930081
188903890081,parents,188903940081
188903890081,parents,188903950081
188903960082,esposa,188903970082
188903960082,fill,188903980082
188903960082,fill,188903990082
188904000083,esposa,188904010083
188904000083,fill,188904020083
188904000083,fill,188904030083
188904000083,fill,188904040083
188904000083,fill,188904050083
188904000083,altres,188904060083
188904070084,esposa,188904080084
188904090085,esposa,188904100085
188904090085,parents,188904110085
188904090085,parents,188904120085
188904090085,parents,188904130085
188904090085,parents,188904140085
188904150086,esposa,188904160086
188904170087,esposa,188904180087
188904170087,fill,188904190087
188904170087,altres,188904200087
188904170087,altres,188904210087
188904220088,esposa,188904230088
188904220088,fill,188904240088
188904220088,fill,188904250088
188904220088,altres,188904260088
188904220088,altres,188904270088
188904280089,esposa,188904290089
188904280089,fill,188904300089
188904280089,fill,188904310089
188904280089,fill,188904320089
188904280089,fill,188904330089
188904280089,fill,188904340089
188904350090,esposa,188904360090
188904350090,fill,188904370090
188904350090,fill,188904380090
188904350090,servents,188904390090
188904400091,esposa,188904410091
188904400091,fill,188904420091
188904400091,fill,188904430091
188904400091,jove,188904440091
188904400091,net,188904450091
188904400091,net,188904460091
188904400091,parents,188904470091
188904480092,esposa,188904490092
188904480092,fill,188904500092
188904480092,fill,188904510092
188904480092,fill,188904520092
188904480092,fill,188904530092
188904540093,mare,188904550093
188904540093,germana,188904560093
188904570094,esposa,188904580094
188904570094,fill,188904590094
188904570094,fill,188904600094
188904570094,fill,188904610094
188904570094,fill,188904620094
188904570094,sogre,188904630094
188904570094,germa,188904640094
188904570094,parents,188904650094
188904570094,parents,188904660094
188904570094,parents,188904670094
188904570094,parents,188904680094
188904570094,parents,188904690094
188904700095,esposa,188904710095
188904700095,fill,188904720095
188904700095,fill,188904730095
188904700095,fill,188904740095
188904700095,fill,188904750095
188904700095,mare,188904760095
188904700095,germana,188904770095
188904780096,esposa,188904790096
188904780096,fill,188904800096
188904780096,fill,188904810096
188904780096,fill,188904820096
188904780096,fill,188904830096
188904780096,cunyada,188904840096
188904850097,esposa,188904860097
188904850097,fill,188904870097
188904850097,fill,188904880097
188904850097,fill,188904890097
188904900098,esposa,188904910098
188904900098,fill,188904920098
188904930099,esposa,188904940099
188904930099,fill,188904950099
188904930099,fill,188904960099
188904930099,fill,188904970099
188904930099,cunyada,188904980099
188904990100,esposa,188905000100
188904990100,fill,188905010100
188904990100,fill,188905020100
188904990100,fill,188905030100
188904990100,fill,188905040100
188905050101,esposa,188905060101
188905050101,fill,188905070101
188905050101,fill,188905080101
188905050101,fill,188905090101
188905050101,fill,188905100101
188905050101,fill,188905110101
188905120102,esposa,188905130102
188905120102,fill,188905140102
188905120102,germana,188905150102
188905120102,sogre,188905160102
188905170103,esposa,188905180103
188905170103,parents,188905190103
188905200104,esposa,188905210104
188905200104,fill,188905220104
188905200104,fill,188905230104
188905200104,fill,188905240104
188905250105,fill,188905260105
188905250105,jove,188905270105
188905250105,neta,188905280105
188905250105,neta,188905290105
188905250105,neta,188905300105
188905310106,esposa,188905320106
188905310106,fill,188905330106
188905310106,fill,188905340106
188905310106,jove,188905350106
188905310106,net,188905360106
188905310106,neta,188905370106
188905310106,neta,188905380106
188905310106,neta,188905390106
188905400107,esposa,188905410107
188905420108,esposa,188905430108
188905420108,fill,188905440108
188905420108,fill,188905450108
188905420108,fill,188905460108
188905420108,fill,188905470108
188905480109,esposa,188905490109
188905480109,fill,188905500109
188905480109,fill,188905510109
188905480109,fill,188905520109
188905480109,fill,188905530109
188905540110,esposa,188905550110
188905540110,fill,188905560110
188905540110,fill,188905570110
188905540110,fill,188905580110
188905540110,fill,188905590110
188905600111,esposa,188905610111
188905600111,fill,188905620111
188905600111,parents,188905630111
188905600111,parents,188905640111
188905600111,altres,188905650111
188905600111,altres,188905660111
188905600111,altres,188905670111
188905600111,jefe_1,188905680111
188905600111,esposa_1,188905690111
188905600111,fill_1,188905700111
188905710112,fill,188905720112
188905710112,fill,188905730112
188905710112,fill,188905740112
188905750113,esposa,188905760113
188905750113,fill,188905770113
188905750113,fill,188905780113
188905750113,fill,188905790113
188905750113,fill,188905800113
188905810114,esposa,188905820114
188905810114,fill,188905830114
188905810114,fill,188905840114
188905850115,esposa,188905860115
188905850115,fill,188905870115
188905880116,esposa,188905890116
188905880116,fill,188905900116
188905880116,jove,188905910116
188905880116,neta,188905920116
188905880116,altres,188905930116
188905880116,altres,188905940116
188905950117,esposa,188905960117
188905950117,fill,188905970117
188905980118,esposa,188905990118
188905980118,fill,188906000118
188906010119,esposa,188906020119
188906010119,fill,188906030119
188906010119,fill,188906040119
188906010119,gendre,188906050119
188906010119,fill,188906060119
188906010119,net,188906070119
188906080120,esposa,188906090120
188906080120,fill,188906100120
188906080120,fill,188906110120
188906080120,altres,188906120120
188906130121,esposa,188906140121
188906130121,pare,188906150121
188906130121,mare,188906160121
188906170122,esposa,188906180122
188906170122,fill,188906190122
188906200123,esposa,188906210123
188906200123,fill,188906220123
188906200123,fill,188906230123
188906200123,fill,188906240123
188906250124,esposa,188906260124
188906250124,no consta,188906270124
188906280125,esposa,188906290125
188906280125,fill,188906300125
188906280125,fill,188906310125
188906280125,parents,188906320125
188906280125,parents,188906330125
188906280125,parents,188906340125
188906280125,parents,188906350125
188906360126,germa,188906370126
188906380127,esposa,188906390127
188906380127,fill,188906400127
188906380127,fill,188906410127
188906380127,fill,188906420127
188906430128,esposa,188906440128
188906430128,fill,188906450128
188906430128,fill,188906460128
188906430128,fill,188906470128
188906480129,esposa,188906490129
188906480129,fill,188906500129
188906480129,fill,188906510129
188906480129,fill,188906520129
188906480129,fill,188906530129
188906540130,esposa,188906550130
188906540130,fill,188906560130
188906540130,fill,188906570130
188906540130,fill,188906580130
188906540130,fill,188906590130
188906540130,fill,188906600130
188906610131,fill,188906620131
188906610131,altres,188906630131
188906640132,esposa,188906650132
188906640132,fill,188906660132
188906640132,cunyada,188906670132
188906640132,cunyada,188906680132
188906640132,pare,188906690132
188906640132,altres,188906700132
188906640132,altres,188906710132
188906640132,altres,188906720132
188906640132,altres,188906730132
188906640132,altres,188906740132
188906640132,altres,188906750132
188906640132,altres,188906760132
188906770133,fill,188906780133
188906770133,fill,188906790133
188906770133,fill,188906800133
188906810134,esposa,188906820134
188906810134,fill,188906830134
188906810134,fill,188906840134
188906850135,esposa,188906860135
188906850135,parents,188906870135
188906880136,esposa,188906890136
188906900137,esposa,188906910137
188906900137,fill,188906920137
188906900137,fill,188906930137
188906900137,fill,188906940137
188906900137,fill,188906950137
188906900137,fill,188906960137
188906900137,fill,188906970137
188906900137,fill,188906980137
188907000139,esposa,188907010139
188907000139,fill,188907020139
188907000139,sogre,188907030139
188907000139,sogre,188907040139
188907000139,cunyada,188907050139
188907060140,esposa,188907070140
188907060140,fill,188907080140
188907060140,fill,188907090140
188907060140,fill,188907100140
188907110141,esposa,188907120141
188907110141,fill,188907130141
188907110141,fill,188907140141
188907110141,fill,188907150141
188907110141,pare,188907160141
188907110141,parents,188907170141
188907180142,esposa,188907190142
188907200143,esposa,188907210143
188907200143,fill,188907220143
188907200143,fill,188907230143
188907200143,parents,188907240143
188907200143,parents,188907250143
188907260144,germana,188907270144
188907280145,esposa,188907290145
188907300146,esposa,188907310146
188907300146,fill,188907320146
188907300146,cunyat,188907330146
188907300146,cunyada,188907340146
188907300146,sogre,188907350146
188907360147,filla,188907370147
188907360147,gendre,188907380147
188907360147,filla,188907390147
188907360147,neta,188907400147
188907360147,net,188907410147
188907360147,net,188907420147
188907430148,filla,188907440148
188907430148,fill,188907450148
188907460149,esposa,188907470149
188907460149,fill,188907480149
188907460149,mare,188907490149
188907500150,esposa,188907510150
188907500150,fill,188907520150
188907500150,fill,188907530150
188907500150,fill,188907540150
188907500150,sogre,188907550150
188907560151,esposa,188907570151
188907560151,fill,188907580151
188907560151,fill,188907590151
188907560151,cunyat,188907600151
188907560151,cunyada,188907610151
188907560151,neboda,188907620151
188907560151,nebot,188907630151
188907560151,nebot,188907640151
188907560151,nebot,188907650151
188907660152,esposa,188907670152
188907680153,esposa,188907690153
188907680153,sogre,188907700153
188907710154,filla,188907720154
188907710154,filla,188907730154
188907710154,fill,188907740154
188907710154,altres,188907750154
188907710154,altres,188907760154
188907710154,altres,188907770154
188907780155,esposa,188907790155
188907780155,fill,188907800155
188907780155,fill,188907810155
188907780155,fill,188907820155
188907780155,fill,188907830155
188907780155,fill,188907840155
188907780155,fill,188907850155
188907780155,fill,188907860155
188907780155,fill,188907870155
188907880156,esposa,188907890156
188907880156,fill,188907900156
188907880156,altres,188907910156
188907880156,altres,188907920156
188907930157,esposa,188907940157
188907930157,fill,188907950157
188907930157,fill,188907960157
188907930157,fill,188907970157
188907930157,fill,188907980157
188907990158,esposa,188908000158
188907990158,fill,188908010158
188907990158,fill,188908020158
188907990158,fill,188908030158
188907990158,sogre,188908040158
188908050159,esposa,188908060159
188908050159,fill,188908070159
188908050159,cunyada,188908080159
188908050159,cunyada,188908090159
188908050159,cunyada,188908100159
188908110160,fill,188908120160
188908110160,jove,188908130160
188908110160,parents,188908140160
188908110160,neta,188908150160
188908160161,esposa,188908170161
188908160161,fill,188908180161
188908160161,fill,188908190161
188908160161,fill,188908200161
188908160161,fill,188908210161
188908160161,fill,188908220161
188908160161,jove,188908230161
188908240162,esposa,188908250162
188908240162,fill,188908260162
188908270163,esposa,188908280163
188908270163,fill,188908290163
188908300164,esposa,188908310164
188908300164,fill,188908320164
188908300164,fill,188908330164
188908340165,esposa,188908350165
188908340165,fill,188908360165
188908370166,esposa,188908380166
188908370166,fill,188908390166
188908400167,fill,188908410167
188908400167,jove,188908420167
188908400167,net,188908430167
188908400167,net,188908440167
188908400167,fill,188908450167
188908460168,fill,188908470168
188908460168,fill,188908480168
188908460168,fill,188908490168
188908500169,esposa,188908510169
188908500169,fill,188908520169
188908500169,fill,188908530169
188908500169,fill,188908540169
188908500169,altres,188908550169
188908500169,altres,188908560169
188908500169,altres,188908570169
188908500169,altres,188908580169
188908590170,esposa,188908600170
188908590170,fill,188908610170
188908590170,fill,188908620170
188908590170,fill,188908630170
188908640171,esposa,188908650171
188908640171,altres,188908660171
188908670172,esposa,188908680172
188908670172,fill,188908690172
188908670172,fill,188908700172
188908670172,sogre,188908710172
188908720173,esposa,188908730173
188908720173,fill,188908740173
188908720173,fill,188908750173
188908720173,fill,188908760173
188908720173,fill,188908770173
188908720173,fill,188908780173
188908790174,esposa,188908800174
188908790174,fill,188908810174
188908790174,fill,188908820174
188908790174,fill,188908830174
188908840175,esposa,188908850175
188908840175,fill,188908860175
188908840175,fill,188908870175
188908840175,fill,188908880175
188908840175,altres,188908890175
188908840175,altres,188908900175
188908910176,esposa,188908920176
188908910176,fill,188908930176
188908940177,esposa,188908950177
188908960178,esposa,188908970178
188908960178,fill,188908980178
188908960178,fill,188908990178
188908960178,fill,188909000178
188908960178,servents,188909010178
188909020179,esposa,188909030179
188909020179,fill,188909040179
188909020179,fill,188909050179
188909020179,fill,188909060179
188909020179,fill,188909070179
188909020179,fill,188909080179
188909090180,esposa,188909100180
188909110181,esposa,188909120181
188909110181,fill,188909130181
188909110181,fill,188909140181
188909110181,fill,188909150181
188909160182,germana,188909170182
188909180183,esposa,188909190183
188909180183,fill,188909200183
188909180183,fill,188909210183
188909180183,fill,188909220183
188909180183,parents,188909230183
188909240184,fill,188909250184
188909240184,jove,188909260184
188909240184,filla,188909270184
188909240184,fill,188909280184
188909290185,esposa,188909300185
188909290185,fill,188909310185
188909290185,germa,188909320185
188909290185,germa,188909330185
188909340186,esposa,188909350186
188909340186,altres,188909360186
188909340186,altres,188909370186
188909340186,altres,188909380186
188909390187,esposa,188909400187
188909390187,fill,188909410187
188909420188,esposa,188909430188
188909420188,fill,188909440188
188909420188,fill,188909450188
188909420188,altres,188909460188
188909420188,altres,188909470188
188909420188,altres,188909480188
188909490189,esposa,188909500189
188909490189,fill,188909510189
188909490189,fill,188909520189
188909490189,fill,188909530189
188909490189,fill,188909540189
188909490189,fill,188909550189
188909490189,fill,188909560189
188909490189,fill,188909570189
188909580190,esposa,188909590190
188909580190,servents,188909600190
188909610191,esposa,188909620191
188909610191,parents,188909630191
188909610191,servents,188909640191
188909650192,esposa,188909660192
188909650192,fill,188909670192
188909650192,mare,188909680192
188909650192,germa,188909690192
188909700193,esposa,188909710193
188909700193,parents,188909720193
188909700193,pare,188909730193
188909750195,esposa,188909760195
188909750195,fill,188909770195
188909750195,fill,188909780195
188909750195,fill,188909790195
188909750195,fill,188909800195
188909750195,fill,188909810195
188909820196,fill,188909830196
188909820196,fill,188909840196
188909820196,jove,188909850196
188909820196,net,188909860196
188909870197,fill,188909880197
188909870197,jove,188909890197
188909870197,parents,188909900197
188909870197,altres,188909910197
188909920198,esposa,188909930198
188909920198,fill,188909940198
188909920198,fill,188909950198
188909920198,fill,188909960198
188909920198,fill,188909970198
188909980199,altres,188909990199
188909980199,altres,188910000199
188909980199,altres,188910010199
188909980199,altres,188910020199
188909980199,altres,188910030199
188909980199,altres,188910040199
188909980199,altres,188910050199
188910060200,filla,188910070200
188910060200,fill,188910080200
188910060200,jove,188910090200
188910100201,esposa,188910110201
188910100201,fill,188910120201
188910100201,fill,188910130201
188910100201,fill,188910140201
188910100201,fill,188910150201
188910160202,esposa,188910170202
188910160202,fill,188910180202
188910160202,fill,188910190202
188910160202,sogre,188910200202
188910160202,cunyada,188910210202
188910220203,esposa,188910230203
188910220203,fill,188910240203
188910220203,altres,188910250203
188910270205,esposa,188910280205
188910270205,fill,188910290205
188910270205,fill,188910300205
188910270205,fill,188910310205
188910270205,parents,188910320205
188910270205,parents,188910330205
188910270205,altres,188910340205
188910270205,altres,188910350205
188910360206,esposa,188910370206
188910360206,fill,188910380206
188910360206,fill,188910390206
188910360206,fill,188910400206
188910360206,fill,188910410206
188910360206,altres,188910420206
188910430207,esposa,188910440207
188910430207,fill,188910450207
188910430207,jove,188910460207
188910430207,net,188910470207
188910430207,neta,188910480207
188910430207,altres,188910490207
188910500208,esposa,188910510208
188910500208,fill,188910520208
188910500208,fill,188910530208
188910500208,fill,188910540208
188910500208,fill,188910550208
188910500208,filla,188910560208
188910500208,fill,188910570208
188910580209,fill,188910590209
188910580209,jove,188910600209
188910580209,net,188910610209
188910580209,net,188910620209
188910580209,neta,188910630209
188910640210,esposa,188910650210
188910640210,fill,188910660210
188910670211,esposa,188910680211
188910670211,fill,188910690211
188910670211,fill,188910700211
188910670211,fill,188910710211
188910670211,fill,188910720211
188910730212,esposa,188910740212
188910730212,fill,188910750212
188910730212,fill,188910760212
188910730212,fill,188910770212
188910730212,fill,188910780212
188910790213,esposa,188910800213
188910790213,fill,188910810213
188910790213,parents,188910820213
188910830214,esposa,188910840214
188910830214,fill,188910850214
188910830214,fill,188910860214
188910870215,fill,188910880215
188910870215,gendre,188910890215
188910870215,fill,188910900215
188910870215,net,188910910215
188910870215,net,188910920215
188910870215,net,188910930215
188910870215,net,188910940215
188910950216,esposa,188910960216
188910950216,fill,188910970216
188910950216,fill,188910980216
188910990217,esposa,188911000217
188910990217,fill,188911010217
188911020218,esposa,188911030218
188911020218,fill,188911040218
188911020218,fill,188911050218
188911020218,fill,188911060218
188911020218,fill,188911070218
188911020218,fill,188911080218
188911090219,esposa,188911100219
188911090219,filla,188911110219
188911090219,filla,188911120219
188911130220,esposa,188911140220
188911130220,fill,188911150220
188911160221,esposa,188911170221
188911160221,fill,188911180221
188911190222,esposa,188911200222
188911190222,fill,188911210222
188911190222,fill,188911220222
188911190222,fill,188911230222
188911190222,parents,188911240222
188911250223,fill,188911260223
188911250223,fill,188911270223
188911250223,germa,188911280223
188911250223,altres,188911290223
188911300224,esposa,188911310224
188911320225,fill,188911330225
188911340226,esposa,188911350226
188911360227,esposa,188911370227
188911360227,fill,188911380227
188911360227,fill,188911390227
188911360227,fill,188911400227
188911360227,fill,188911410227
188911360227,fill,188911420227
188911430228,esposa,188911440228
188911430228,fill,188911450228
188911430228,fill,188911460228
188911470229,esposa,188911480229
188911470229,fill,188911490229
188911470229,fill,188911500229
188911470229,fill,188911510229
188911470229,fill,188911520229
188911530230,esposa,188911540230
188911530230,fill,188911550230
188911530230,pare,188911560230
188911530230,germa,188911570230
188911580231,esposa,188911590231
188911580231,fill,188911600231
188911580231,fill,188911610231
188911580231,fill,188911620231
188911630232,fill,188911640232
188911630232,gendre,188911650232
188911630232,fill,188911660232
188911630232,net,188911670232
188911630232,net,188911680232
188911690233,esposa,188911700233
188911690233,fill,188911710233
188911690233,fill,188911720233
188911690233,fill,188911730233
188911740234,esposa,188911750234
188911740234,fill,188911760234
188911740234,fill,188911770234
188911780235,esposa,188911790235
188911780235,fill,188911800235
188911780235,fill,188911810235
188911780235,jove,188911820235
188911780235,neta,188911830235
188911840236,esposa,188911850236
188911840236,fill,188911860236
188911840236,fill,188911870236
188911840236,fill,188911880236
188911890237,esposa,188911900237
188911890237,fill,188911910237
188911890237,parents,188911920237
188911890237,parents,188911930237
188911940238,servents,188911950238
188911960239,esposa,188911970239
188911960239,fill,188911980239
188911960239,fill,188911990239
188911960239,fill,188912000239
188911960239,fill,188912010239
188912020240,esposa,188912030240
188912020240,fill,188912040240
188912020240,fill,188912050240
188912020240,fill,188912060240
188912020240,fill,188912070240
188912020240,fill,188912080240
188912020240,fill,188912090240
188912100241,fill,188912110241
188912100241,jove,188912120241
188912100241,neta,188912130241
188912100241,neta,188912140241
188912100241,neta,188912150241
188912100241,fill,188912160241
188912170242,esposa,188912180242
188912170242,fill,188912190242
188912170242,cunyada,188912200242
188912210243,esposa,188912220243
188912210243,fill,188912230243
188912210243,fill,188912240243
188912210243,fill,188912250243
188912210243,fill,188912260243
188912210243,fill,188912270243
188912210243,cunyada,188912280243
188912290244,esposa,188912300244
188912290244,fill,188912310244
188912290244,jove,188912320244
188912290244,fill,188912330244
188912290244,neta,188912340244
188912360246,esposa,188912370246
188912360246,fill,188912380246
188912390247,esposa,188912400247
188912410248,fill,188912420248
188912410248,fill,188912430248
188912410248,filla,188912440248
188912450249,esposa,188912460249
188912450249,fill,188912470249
188912480250,esposa,188912490250
188912500251,esposa,188912510251
188912500251,filla,188912520251
188912530252,esposa,188912540252
188912550253,esposa,188912560253
188912550253,fill,188912570253
188912580254,esposa,188912590254
188912580254,fill,188912600254
188912610255,esposa,188912620255
188912610255,germa,188912630255
188912610255,cunyada,188912640255
188912660257,esposa,188912670257
188912660257,fill,188912680257
188912660257,fill,188912690257
188912660257,fill,188912700257
188912710258,esposa,188912720258
188912710258,fill,188912730258
188912740259,esposa,188912750259
188912740259,fill,188912760259
188912740259,fill,188912770259
188912740259,fill,188912780259
188912740259,fill,188912790259
188912800260,esposa,188912810260
188912820261,esposa,188912830261
188912840262,esposa,188912850262
188912840262,fill,188912860262
188912840262,fill,188912870262
188912880263,esposa,188912890263
188912880263,fill,188912900263
188912880263,fill,188912910263
188912880263,cunyada,188912920263
188912930264,esposa,188912940264
188912930264,fill,188912950264
188912930264,fill,188912960264
188912930264,fill,188912970264
188912930264,fill,188912980264
188912930264,fill,188912990264
188912930264,fill,188913000264
188912930264,servents,188913010264
188913020265,esposa,188913030265
188913040266,esposa,188913050266
188913040266,fill,188913060266
188913070267,esposa,188913080267
188913070267,fill,188913090267
188913100268,fill,188913110268
188913120269,fill,188913130269
188913120269,fill,188913140269
188913120269,fill,188913150269
188913160270,fill,188913170270
188913160270,fill,188913180270
